comparison_id,benchmark,condition,left_method,right_method,metric,seed,max_train_per_task,left_value,right_value,difference,left_run_id,right_run_id
comparison_01,split_cifar10,sym20,gate_loss,er,average_accuracy,0,1500,0.7171,0.6813,0.03579999999999994,split_cifar10__sym20__gate_loss__seed0,split_cifar10__sym20__er__seed0
comparison_01,split_cifar10,sym20,gate_loss,er,average_accuracy,1,1500,0.7154,0.6658000000000001,0.04959999999999998,split_cifar10__sym20__gate_loss__seed1,split_cifar10__sym20__er__seed1
comparison_01,split_cifar10,sym20,gate_loss,er,average_accuracy,2,1500,0.7058,0.6887000000000001,0.017099999999999893,split_cifar10__sym20__gate_loss__seed2,split_cifar10__sym20__er__seed2
comparison_01,split_cifar10,sym20,gate_loss,er,average_accuracy,3,2500,0.7076999999999999,0.6576,0.05009999999999992,split_cifar10__sym20__gate_loss__seed3,split_cifar10__sym20__er__seed3
comparison_01,split_cifar10,sym20,gate_loss,er,average_accuracy,4,2500,0.756,0.6698000000000001,0.08619999999999994,split_cifar10__sym20__gate_loss__seed4,split_cifar10__sym20__er__seed4
comparison_02,split_cifar10,sym60,gate_loss,er,average_accuracy,0,1500,0.4069,0.4296999999999999,-0.02279999999999993,split_cifar10__sym60__gate_loss__seed0,split_cifar10__sym60__er__seed0
comparison_02,split_cifar10,sym60,gate_loss,er,average_accuracy,1,1500,0.4684999999999999,0.4769,-0.008400000000000074,split_cifar10__sym60__gate_loss__seed1,split_cifar10__sym60__er__seed1
comparison_02,split_cifar10,sym60,gate_loss,er,average_accuracy,2,1500,0.407,0.4591999999999999,-0.05219999999999991,split_cifar10__sym60__gate_loss__seed2,split_cifar10__sym60__er__seed2
comparison_02,split_cifar10,sym60,gate_loss,er,average_accuracy,3,2500,0.4110999999999999,0.4488999999999999,-0.0378,split_cifar10__sym60__gate_loss__seed3,split_cifar10__sym60__er__seed3
comparison_02,split_cifar10,sym60,gate_loss,er,average_accuracy,4,2500,0.4587,0.4545,0.0041999999999999815,split_cifar10__sym60__gate_loss__seed4,split_cifar10__sym60__er__seed4
comparison_03,split_cifar10,sym20,oracle,gate_loss,average_accuracy,0,1500,0.7506999999999999,0.7171,0.03359999999999996,split_cifar10__sym20__oracle__seed0,split_cifar10__sym20__gate_loss__seed0
comparison_03,split_cifar10,sym20,oracle,gate_loss,average_accuracy,1,1500,0.7496,0.7154,0.03420000000000001,split_cifar10__sym20__oracle__seed1,split_cifar10__sym20__gate_loss__seed1
comparison_03,split_cifar10,sym20,oracle,gate_loss,average_accuracy,2,1500,0.7740000000000001,0.7058,0.06820000000000015,split_cifar10__sym20__oracle__seed2,split_cifar10__sym20__gate_loss__seed2
comparison_03,split_cifar10,sym20,oracle,gate_loss,average_accuracy,3,2500,0.7542,0.7076999999999999,0.0465000000000001,split_cifar10__sym20__oracle__seed3,split_cifar10__sym20__gate_loss__seed3
comparison_03,split_cifar10,sym20,oracle,gate_loss,average_accuracy,4,2500,0.7665000000000001,0.756,0.010500000000000065,split_cifar10__sym20__oracle__seed4,split_cifar10__sym20__gate_loss__seed4
