run_id,benchmark,method,noise_type,noise_rate,seed,buffer_size,buffer_purity,normalized_class_entropy,buffer_class_balance,class_count_variance,minority_class_coverage,n_classes_represented,replay_loss_clean,replay_loss_noisy
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,500,0.908,0.9918326012111849,0.5396825396825397,92.0,1.0,10,0.22061910534559687,0.4594012819554495
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,500,0.904,0.9890583144902609,0.4090909090909091,117.0,1.0,10,0.21821890995044219,0.42720598448067904
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,500,0.942,0.9940164554288531,0.5483870967741935,66.2,1.0,10,0.19512032875197452,0.4790124872635151
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,500,0.912,0.9968593294318198,0.6607142857142857,34.6,1.0,10,0.2533314833815478,0.6649500719610263
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,500,0.906,0.9930810170362678,0.5625,80.0,1.0,10,0.2268323434244895,0.45660395076141713
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,500,0.908,0.9918326012111849,0.5396825396825397,92.0,1.0,10,0.03197170600118705,0.003873748283230389
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,500,0.904,0.9890583144902609,0.4090909090909091,117.0,1.0,10,0.015871177906637297,0.00512979880760452
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,500,0.942,0.9940164554288531,0.5483870967741935,66.2,1.0,10,0.011764754036584177,0.018344097831498252
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,500,0.912,0.9968593294318198,0.6607142857142857,34.6,1.0,10,0.025209305978691518,0.016889513877997298
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,500,0.906,0.9930810170362678,0.5625,80.0,1.0,10,0.02314072965576616,0.02302405339488641
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,500,0.944,0.9576452785616965,0.17777777777777778,472.0,1.0,10,0.2618453966338033,0.07338086970262989
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,500,0.95,0.9658722731145272,0.2625,376.2,1.0,10,0.02775463804387749,0.026487853095684386
cifar10n_taskil__c10n_aggre__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:aggre,0.092,2,500,0.956,0.9642587521300422,0.25316455696202533,377.4,1.0,10,0.007990070019659823,0.01496174395461222
cifar10n_taskil__c10n_aggre__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:aggre,0.089,3,500,0.96,0.9680229816109669,0.23333333333333334,368.2,1.0,10,0.016207866027205912,0.13175593528765148
cifar10n_taskil__c10n_aggre__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:aggre,0.088,4,500,0.93,0.9553419777408346,0.23376623376623376,464.4,1.0,10,0.012998191267499497,0.06333389619363743
cifar10n_taskil__c10n_aggre__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:aggre,0.086,0,500,0.958,0.9930576392718337,0.5454545454545454,80.0,1.0,10,0.025472600521282418,0.08230864136054974
cifar10n_taskil__c10n_aggre__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:aggre,0.09,1,500,0.944,0.9966108059416957,0.6885245901639344,39.2,1.0,10,0.03416274775888066,0.01875779882111926
cifar10n_taskil__c10n_aggre__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:aggre,0.092,2,500,0.958,0.991478680450409,0.5230769230769231,97.0,1.0,10,0.039420445378209046,0.012956002958763488
cifar10n_taskil__c10n_aggre__gate_loss__seed3,cifar10n_taskil,gate_loss,cifar10n:aggre,0.089,3,500,0.95,0.9939973052363843,0.578125,68.0,1.0,10,0.009532555114500069,0.02332712952718566
cifar10n_taskil__c10n_aggre__gate_loss__seed4,cifar10n_taskil,gate_loss,cifar10n:aggre,0.088,4,500,0.92,0.9917727963726467,0.4603174603174603,89.2,1.0,10,0.02099388643101395,0.04475624506777649
cifar10n_taskil__c10n_aggre__oracle__seed0,cifar10n_taskil,oracle,cifar10n:aggre,0.086,0,500,1.0,0.998133870281289,0.7241379310344828,21.6,1.0,10,0.017468603544787173,
cifar10n_taskil__c10n_aggre__oracle__seed1,cifar10n_taskil,oracle,cifar10n:aggre,0.09,1,500,1.0,0.9960759100283438,0.6557377049180327,44.8,1.0,10,0.029622684960359878,
cifar10n_taskil__c10n_aggre__oracle__seed2,cifar10n_taskil,oracle,cifar10n:aggre,0.092,2,500,1.0,0.9955424032546322,0.6721311475409836,51.8,1.0,10,0.028802175212819633,
cifar10n_taskil__c10n_aggre__oracle__seed3,cifar10n_taskil,oracle,cifar10n:aggre,0.089,3,500,1.0,0.9941588285123268,0.5901639344262295,64.0,1.0,10,0.032498708876247846,
cifar10n_taskil__c10n_aggre__oracle__seed4,cifar10n_taskil,oracle,cifar10n:aggre,0.088,4,500,1.0,0.9891604736171699,0.42424242424242425,115.2,1.0,10,0.02597989317471385,
cifar10n_taskil__c10n_worse__derpp__seed0,cifar10n_taskil,derpp,cifar10n:worse,0.4,0,500,0.604,0.9828468245204562,0.41333333333333333,197.4,1.0,10,0.2931897804415796,0.36490021700349945
cifar10n_taskil__c10n_worse__derpp__seed1,cifar10n_taskil,derpp,cifar10n:worse,0.393,1,500,0.57,0.9909223527514034,0.4444444444444444,95.8,1.0,10,0.36184108246361174,0.41698158466538715
cifar10n_taskil__c10n_worse__derpp__seed2,cifar10n_taskil,derpp,cifar10n:worse,0.402,2,500,0.636,0.9917655768621246,0.5223880597014925,95.0,1.0,10,0.34605372912336857,0.38035873919316043
cifar10n_taskil__c10n_worse__derpp__seed3,cifar10n_taskil,derpp,cifar10n:worse,0.389,3,500,0.596,0.995593749004649,0.6451612903225806,51.2,1.0,10,0.358953257558079,0.4861973100387962
cifar10n_taskil__c10n_worse__derpp__seed4,cifar10n_taskil,derpp,cifar10n:worse,0.4,4,500,0.58,0.9914926077443524,0.5072463768115942,98.2,1.0,10,0.3229957587019427,0.5340697165933393
cifar10n_taskil__c10n_worse__er__seed0,cifar10n_taskil,er,cifar10n:worse,0.4,0,500,0.604,0.9828468245204562,0.41333333333333333,197.4,1.0,10,0.06348910481973309,0.0590631966950595
cifar10n_taskil__c10n_worse__er__seed1,cifar10n_taskil,er,cifar10n:worse,0.393,1,500,0.57,0.9909223527514034,0.4444444444444444,95.8,1.0,10,0.07852051066941107,0.09535417351189125
cifar10n_taskil__c10n_worse__er__seed2,cifar10n_taskil,er,cifar10n:worse,0.402,2,500,0.636,0.9917655768621246,0.5223880597014925,95.0,1.0,10,0.05848426183315249,0.06082455839299096
cifar10n_taskil__c10n_worse__er__seed3,cifar10n_taskil,er,cifar10n:worse,0.389,3,500,0.596,0.995593749004649,0.6451612903225806,51.2,1.0,10,0.058945213666635105,0.03531154950649308
cifar10n_taskil__c10n_worse__er__seed4,cifar10n_taskil,er,cifar10n:worse,0.4,4,500,0.58,0.9914926077443524,0.5072463768115942,98.2,1.0,10,0.13137929470089285,0.14125409093007865
cifar10n_taskil__c10n_worse__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,0,500,0.662,0.9749274157676044,0.3333333333333333,293.4,1.0,10,0.31127559107960584,0.13703709272798067
cifar10n_taskil__c10n_worse__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:worse,0.393,1,500,0.614,0.9716311198474142,0.3020833333333333,354.4,1.0,10,0.11560303351663184,0.2523998830261481
cifar10n_taskil__c10n_worse__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:worse,0.402,2,500,0.678,0.9702144966044186,0.3048780487804878,332.6,1.0,10,0.04235100717300074,0.039064230693408614
cifar10n_taskil__c10n_worse__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:worse,0.389,3,500,0.67,0.9771926212983395,0.36,251.4,1.0,10,0.13358663965649087,0.12653044451189546
cifar10n_taskil__c10n_worse__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,4,500,0.668,0.974118343950109,0.29411764705882354,272.0,1.0,10,0.04316420781958394,0.0760902205462033
cifar10n_taskil__c10n_worse__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:worse,0.4,0,500,0.616,0.9770646408822676,0.42105263157894735,270.2,1.0,10,0.08342057261732122,0.08582864270669255
cifar10n_taskil__c10n_worse__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:worse,0.393,1,500,0.658,0.9783607600135389,0.30120481927710846,248.0,1.0,10,0.10924247432870365,0.09356466088982475
cifar10n_taskil__c10n_worse__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:worse,0.402,2,500,0.63,0.9817027015885752,0.40476190476190477,225.8,1.0,10,0.15667518688020732,0.0735112317276302
cifar10n_taskil__c10n_worse__gate_loss__seed3,cifar10n_taskil,gate_loss,cifar10n:worse,0.389,3,500,0.652,0.9924915729554089,0.5217391304347826,87.6,1.0,10,0.03857538573052256,0.04157079444866332
cifar10n_taskil__c10n_worse__gate_loss__seed4,cifar10n_taskil,gate_loss,cifar10n:worse,0.4,4,500,0.618,0.983514475566726,0.4696969696969697,185.0,1.0,10,0.03847536314517305,0.05517106835694454
cifar10n_taskil__c10n_worse__oracle__seed0,cifar10n_taskil,oracle,cifar10n:worse,0.4,0,500,1.0,0.9965726919474567,0.6721311475409836,40.0,1.0,10,0.101503179333742,
cifar10n_taskil__c10n_worse__oracle__seed1,cifar10n_taskil,oracle,cifar10n:worse,0.393,1,500,1.0,0.9984974103247732,0.7543859649122807,17.4,1.0,10,0.03761420472005935,
cifar10n_taskil__c10n_worse__oracle__seed2,cifar10n_taskil,oracle,cifar10n:worse,0.402,2,500,1.0,0.9875820192886152,0.52,151.8,1.0,10,0.07168116582278343,
cifar10n_taskil__c10n_worse__oracle__seed3,cifar10n_taskil,oracle,cifar10n:worse,0.389,3,500,1.0,0.9884687427588981,0.5,128.0,1.0,10,0.02580019867014943,
cifar10n_taskil__c10n_worse__oracle__seed4,cifar10n_taskil,oracle,cifar10n:worse,0.4,4,500,1.0,0.991536244072635,0.5588235294117647,100.0,1.0,10,0.0271065457323607,
