run_id,benchmark,method,noise_type,noise_rate,seed,bin_center,bin_acc,bin_conf,bin_count
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.1,,,0
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.3,,,0
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.5,0.506993006993007,0.516005855340224,286
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.5666666666666667,0.5487804878048781,0.5674658613960918,574
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.6333333333333333,0.6456953642384106,0.6335896196349567,604
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.7,0.7206349206349206,0.7000187186021654,630
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.7666666666666666,0.7507418397626113,0.7669811165651157,674
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.8333333333333334,0.8396846254927727,0.8334140942068513,761
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.9,0.9076923076923077,0.9005038950826738,715
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,derpp,cifar10n:aggre,0.086,0,0.9666666666666667,0.9695767195767195,0.9641935050329834,756
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.1,,,0
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.3,,,0
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.5,0.519298245614035,0.5159203755228143,285
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.5666666666666667,0.537842190016103,0.5660253924448133,621
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.6333333333333333,0.6314102564102564,0.6317440490118968,624
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.7,0.6779964221824687,0.7005371987713044,559
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.7666666666666666,0.7442622950819672,0.7654221821026724,610
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.8333333333333334,0.8538461538461538,0.8348416081758646,650
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.9,0.935251798561151,0.9012046988919484,695
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,derpp,cifar10n:aggre,0.09,1,0.9666666666666667,0.9843096234309623,0.9696547865368831,956
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.1,,,0
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.3,,,0
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,derpp,cifar10n:aggre,0.092,2,0.5,0.5059880239520959,0.5175066172719716,334
