run_id,benchmark,method,noise_type,noise_rate,seed,task,gate_mean,gate_on_correct,gate_on_wrong,gate_separation,corr_gate_correct,buffer_purity,admission_rate
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0,0.44572253972840936,0.44914140872660585,0.37325529778532895,0.0758861109412769,0.04609498213405157,0.964,0.44484210526315787
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,1,0.19624916906027418,0.20140338010364905,0.15468104717229272,0.04672233293135633,0.064655283119005,0.956,0.1946842105263158
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,2,0.2353025139832967,0.23991428061124867,0.20589892116595082,0.03401535944529785,0.04904272620275839,0.94,0.23294736842105263
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,3,0.5387618159822335,0.5502843157074022,0.3920997096537855,0.15818460605361673,0.11471880662534525,0.944,0.5379473684210526
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,4,0.5521430352712541,0.5635351177882117,0.39548421109396015,0.1680509066942516,0.12162079982725461,0.944,0.5505789473684211
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0,0.5200832331798186,0.5257349082877079,0.421682750293624,0.10405215799408385,0.06939419416476106,0.966,0.5166842105263157
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,1,0.24731389512004037,0.2525359825210889,0.2118721871850554,0.04066379533603348,0.05234441645684339,0.946,0.24647368421052632
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,2,0.2767638241764354,0.2878040477338805,0.20267245374384107,0.08513159399003944,0.10482725781052084,0.938,0.27957894736842104
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,3,0.5504592846971201,0.5651705423543647,0.36665215067279694,0.19851839168156776,0.14918870967011155,0.948,0.5474736842105263
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,4,0.5989079378600183,0.6145234673194001,0.3672775842125217,0.2472458831068784,0.17255057635300722,0.95,0.6016315789473684
cifar10n_taskil__c10n_aggre__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:aggre,0.092,2,0,0.4993369628792923,0.5051411323249758,0.4113662858385922,0.09377484648638362,0.06690846731257441,0.924,0.49742105263157893
cifar10n_taskil__c10n_aggre__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:aggre,0.092,2,1,0.24194719456038194,0.24895965778467496,0.1861121100197845,0.06284754776489046,0.07697686476507795,0.902,0.24294736842105263
cifar10n_taskil__c10n_aggre__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:aggre,0.092,2,2,0.29923860955159914,0.3115796089784809,0.22807569547750034,0.08350391350098058,0.10493949535328172,0.906,0.2985263157894737
