run_id,benchmark,dataset,method,backbone,noise_type,noise_rate,seed,command,config_path,status,start_time,end_time,notes
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,cifar10n_aggre_taskil,er,resnet18,cifar10n:aggre,realistic,0,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods er --seeds 0,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__er__seed0.json,done,2026-06-28 13:14:49,2026-06-28 13:18:02,"acc=[0.799, 0.601, 0.639, 0.762, 0.824]"
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,cifar10n_aggre_taskil,er,resnet18,cifar10n:aggre,realistic,1,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods er --seeds 1,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__er__seed1.json,done,2026-06-28 13:18:02,2026-06-28 13:21:14,"acc=[0.826, 0.615, 0.634, 0.794, 0.851]"
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,cifar10n_aggre_taskil,er,resnet18,cifar10n:aggre,realistic,2,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods er --seeds 2,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__er__seed2.json,done,2026-06-28 13:21:14,2026-06-28 13:24:28,"acc=[0.808, 0.71, 0.684, 0.817, 0.898]"
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,cifar10n_aggre_taskil,er,resnet18,cifar10n:aggre,realistic,3,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods er --seeds 3,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__er__seed3.json,done,2026-06-28 13:24:28,2026-06-28 13:27:42,"acc=[0.81, 0.645, 0.673, 0.826, 0.866]"
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,cifar10n_aggre_taskil,er,resnet18,cifar10n:aggre,realistic,4,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods er --seeds 4,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__er__seed4.json,done,2026-06-28 13:27:42,2026-06-28 13:30:54,"acc=[0.842, 0.585, 0.71, 0.863, 0.869]"
cifar10n_taskil__c10n_aggre__derpp__seed0,cifar10n_taskil,cifar10n_aggre_taskil,derpp,resnet18,cifar10n:aggre,realistic,0,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods derpp --seeds 0,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__derpp__seed0.json,done,2026-06-28 13:30:54,2026-06-28 13:34:40,"acc=[0.838, 0.689, 0.623, 0.817, 0.864]"
cifar10n_taskil__c10n_aggre__derpp__seed1,cifar10n_taskil,cifar10n_aggre_taskil,derpp,resnet18,cifar10n:aggre,realistic,1,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods derpp --seeds 1,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__derpp__seed1.json,done,2026-06-28 13:34:40,2026-06-28 13:38:26,"acc=[0.811, 0.672, 0.644, 0.86, 0.868]"
cifar10n_taskil__c10n_aggre__derpp__seed2,cifar10n_taskil,cifar10n_aggre_taskil,derpp,resnet18,cifar10n:aggre,realistic,2,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods derpp --seeds 2,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__derpp__seed2.json,done,2026-06-28 13:38:26,2026-06-28 13:42:12,"acc=[0.801, 0.713, 0.668, 0.826, 0.902]"
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,cifar10n_aggre_taskil,derpp,resnet18,cifar10n:aggre,realistic,3,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods derpp --seeds 3,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__derpp__seed3.json,done,2026-06-28 13:42:12,2026-06-28 13:45:58,"acc=[0.767, 0.663, 0.705, 0.812, 0.857]"
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,cifar10n_aggre_taskil,derpp,resnet18,cifar10n:aggre,realistic,4,python scripts/run_nn_submission.py --datasets cifar10n_taskil --conditions c10n_aggre --methods derpp --seeds 4,results/projected_taskil_cifar10n/configs/cifar10n_taskil__c10n_aggre__derpp__seed4.json,done,2026-06-28 13:45:58,2026-06-28 13:49:43,"acc=[0.833, 0.626, 0.755, 0.854, 0.883]"
