run_id,condition,noise_rate,method,seed,average_accuracy,mean_forgetting,buffer_purity,gate_separation,inversion_rate,total_time_s
cifar10n_taskil__c10n_aggre__derpp__seed0,c10n_aggre,0.086,derpp,0,0.7661999999999999,0.0715,0.908,,,217.52162075042725
cifar10n_taskil__c10n_aggre__derpp__seed1,c10n_aggre,0.09,derpp,1,0.771,0.0822499999999999,0.904,,,217.17390608787537
cifar10n_taskil__c10n_aggre__derpp__seed2,c10n_aggre,0.092,derpp,2,0.782,0.06425,0.942,,,217.0661106109619
cifar10n_taskil__c10n_aggre__derpp__seed3,c10n_aggre,0.089,derpp,3,0.7608,0.0584999999999999,0.912,,,217.13757157325745
cifar10n_taskil__c10n_aggre__derpp__seed4,c10n_aggre,0.088,derpp,4,0.7902,0.04975,0.906,,,217.09586310386655
cifar10n_taskil__c10n_aggre__er__seed0,c10n_aggre,0.086,er,0,0.7249999999999999,0.0817499999999999,0.908,,,180.97385811805725
cifar10n_taskil__c10n_aggre__er__seed1,c10n_aggre,0.09,er,1,0.744,0.0965,0.904,,,180.27990102767944
cifar10n_taskil__c10n_aggre__er__seed2,c10n_aggre,0.092,er,2,0.7834000000000001,0.0544999999999999,0.942,,,182.51245737075809
cifar10n_taskil__c10n_aggre__er__seed3,c10n_aggre,0.089,er,3,0.764,0.0782499999999999,0.912,,,180.52914094924927
cifar10n_taskil__c10n_aggre__er__seed4,c10n_aggre,0.088,er,4,0.7737999999999999,0.04425,0.906,,,180.26550936698916
cifar10n_taskil__c10n_aggre__gate_conf__seed0,c10n_aggre,0.086,gate_conf,0,0.7380000000000001,0.07975,0.944,0.1680509066942516,0.0,215.30573415756223
cifar10n_taskil__c10n_aggre__gate_conf__seed1,c10n_aggre,0.09,gate_conf,1,0.776,0.0535,0.95,0.2472458831068784,0.0,215.54192733764648
cifar10n_taskil__c10n_aggre__gate_conf__seed2,c10n_aggre,0.092,gate_conf,2,0.788,0.0534999999999999,0.956,0.2968719769054931,0.0,215.65548253059387
cifar10n_taskil__c10n_aggre__gate_conf__seed3,c10n_aggre,0.089,gate_conf,3,0.7454000000000001,0.0675,0.96,0.2230589123442431,0.0,215.88658165931705
cifar10n_taskil__c10n_aggre__gate_conf__seed4,c10n_aggre,0.088,gate_conf,4,0.7654,0.04825,0.93,0.2195035505613708,0.0,215.49028539657596
cifar10n_taskil__c10n_aggre__gate_loss__seed0,c10n_aggre,0.086,gate_loss,0,0.8058,0.021,0.958,0.4619098837964667,0.0,216.4159336090088
cifar10n_taskil__c10n_aggre__gate_loss__seed1,c10n_aggre,0.09,gate_loss,1,0.7888,0.03175,0.944,0.4097552250827191,0.0,215.97000861167908
cifar10n_taskil__c10n_aggre__gate_loss__seed2,c10n_aggre,0.092,gate_loss,2,0.766,0.087,0.958,0.4473958566861553,0.0,216.0160601139069
cifar10n_taskil__c10n_aggre__gate_loss__seed3,c10n_aggre,0.089,gate_loss,3,0.8024000000000001,0.037,0.95,0.42111702296808,0.0,215.83669781684875
cifar10n_taskil__c10n_aggre__gate_loss__seed4,c10n_aggre,0.088,gate_loss,4,0.7738,0.071,0.92,0.4475646381358051,0.0,215.75441884994507
cifar10n_taskil__c10n_aggre__oracle__seed0,c10n_aggre,0.086,oracle,0,0.7873999999999999,0.03625,1.0,1.0,0.0,180.57434821128845
cifar10n_taskil__c10n_aggre__oracle__seed1,c10n_aggre,0.09,oracle,1,0.7872000000000001,0.03825,1.0,1.0,0.0,180.5668113231659
cifar10n_taskil__c10n_aggre__oracle__seed2,c10n_aggre,0.092,oracle,2,0.8034000000000001,0.0595,1.0,1.0,0.0,180.56276321411133
cifar10n_taskil__c10n_aggre__oracle__seed3,c10n_aggre,0.089,oracle,3,0.7876,0.0515,1.0,1.0,0.0,180.4854700565338
cifar10n_taskil__c10n_aggre__oracle__seed4,c10n_aggre,0.088,oracle,4,0.7968,0.03975,1.0,1.0,0.0,180.52282333374023
cifar10n_taskil__c10n_worse__derpp__seed0,c10n_worse,0.4,derpp,0,0.6102000000000001,0.0375,0.604,,,217.2335240840912
cifar10n_taskil__c10n_worse__derpp__seed1,c10n_worse,0.393,derpp,1,0.609,0.0762499999999999,0.57,,,217.39401245117188
cifar10n_taskil__c10n_worse__derpp__seed2,c10n_worse,0.402,derpp,2,0.5548,0.0922499999999999,0.636,,,217.2803134918213
cifar10n_taskil__c10n_worse__derpp__seed3,c10n_worse,0.389,derpp,3,0.5996,0.0827499999999999,0.596,,,219.80214834213257
cifar10n_taskil__c10n_worse__derpp__seed4,c10n_worse,0.4,derpp,4,0.6100000000000001,0.0314999999999999,0.58,,,218.3099603652954
cifar10n_taskil__c10n_worse__er__seed0,c10n_worse,0.4,er,0,0.5586,0.06825,0.604,,,180.179340839386
cifar10n_taskil__c10n_worse__er__seed1,c10n_worse,0.393,er,1,0.5373999999999999,0.0735,0.57,,,180.27242827415463
cifar10n_taskil__c10n_worse__er__seed2,c10n_worse,0.402,er,2,0.5508,0.0745,0.636,,,180.27917790412903
